"Id";"Organisations";"Regional/national entities";"Implementing Partners";"Countries";"Regions";"Cities";"Specific Objectives";"Sectors";"Beneficiaries";"Donors";"Overall Budget (in euros)";"Allocated Budget (in euros)";"Context";"Starting Date";"Ending Date";"First Cash Date";"excel.maket_assessment";"Coordination Mechanisms";"Modalities";"Type of Intervention";"Contact Person Name";"Contact Person Position";"Contact Email Address";"Organisation Website";"Language";"Description";"Data sharing allowed";"Media";"Additional Fields"
"23";"UN High Commissioner for Refugees (UNHCR)";"";"";"Cambodia";"";"";"Cambodian refugees in Thailand with intention to repatriate";"Nutrition, NFI";"";"UN High Commissioner for Refugees (UNHCR)";"";"";"";"1/1992";"1/1993";"1/1992";"";"";"Unconditional grant, Direct cash#";"Cash transfer + in-kind (or other) - Handed to beneficiaries together with food and non-food rations";"";"";"";"";"English";"""Cash and vouchers in emergencies"", P. Harvey, HPG, ODI, February 2005, and no more specific information";"no";"";""
"208";"Action Contre la Faim - ACF International";"ACF PA";"";"Haiti";"L'Artibonite";"Gonaïves";"Irrigation system rehabilitation after hurricane in rural areas";"Water supply, sanitation and hygiene promotion";"1250";"";"";"";"Rural - Sedentary";"1/2005";"1/";"1/2005";"";"";"Cash for work#";"Cash transfer only (cash or voucher)";"";"";"";"";"English";"";"no";"";""
"257";"Action Contre la Faim - ACF International";"ACF PA";"";"Haiti";"Ouest";"";"Fresh/Sptaple Food Voucher + cash grants for vendors + market support+technical training";"Nutrition, Education, Market based intervention";"50100";"European Commission Humanitarian Office (ECHO)";"";"";"Urban";"1/2011";"1/";"1/2011";"";"";"Vouchers, Paper- Cash voucher#";"Cash transfer only (cash or voucher)";"";"";"";"";"English";"";"no";"";""
"263";"Action Contre la Faim - ACF International";"ACF SP";"";"Mali";"Gao";"";"Improve food security.";"Food security and livelihood";"11700";"European Union";"";"";"Urban";"8/2009";"1/";"8/2009";"";"";"Cash for work, Direct cash, Aid agency directly#Unconditional grant, Direct cash, Bank#";"Cash transfer only (cash or voucher)";"";"";"";"";"English";"";"no";"";""
"269";"Action Contre la Faim - ACF International";"ACF SP";"";"Mauritania";"Gorgol";"kaedi";"Food facility during hunger gap";"Food security and livelihood";"3500";"European Union, Co-funding";"";"";"Rural - Sedentary";"1/2010";"1/";"1/2010";"";"";"Cash for work, Direct cash, Aid agency directly#";"Cash transfer only (cash or voucher)";"";"";"";"";"English";"";"no";"";""
"272";"Action Contre la Faim - ACF International";"ACF SP";"";"Niger";"Tahoua";"";"Soil conservation";"Shelter, settlement, Water supply, sanitation and hygiene promotion";"5600";"ACCD";"";"";"Rural - Sedentary";"11/2010";"1/";"11/2010";"";"";"Cash for work, Direct cash, Aid agency directly#";"Cash transfer only (cash or voucher)";"";"";"";"";"English";"";"no";"";""
"273";"Action Contre la Faim - ACF International";"ACF SP";"";"Niger";"Tahoua";"";"Emergency response within the National Response Program for soil conservation and traning on diet diversification";"Nutrition, Shelter, settlement, Water supply, sanitation and hygiene promotion, Education";"16000";"European Commission Humanitarian Office (ECHO), ACCD";"";"";"Rural - Sedentary";"3/2010";"1/";"3/2010";"";"";"Cash for work, Direct cash, Aid agency directly#";"Cash transfer only (cash or voucher)";"";"";"";"";"English";"";"no";"";""
"274";"Action Contre la Faim - ACF International";"ACF SP";"";"Niger";"Maradi";"";"Emergency response within the National Response Program for soil conservation";"Shelter, settlement, Water supply, sanitation and hygiene promotion";"12825";"Department for International Development (DFID), WARHF";"";"";"Rural - Sedentary";"3/2010";"1/";"3/2010";"";"";"Cash for work, Direct cash, Aid agency directly#";"Cash transfer only (cash or voucher)";"";"";"";"";"English";"";"no";"";""
"278";"Action Contre la Faim - ACF International";"ACF SP";"";"Mauritania";"Guidimaka";"";"Pilot action-research project to assess nutritional impact of non-conditional seasonal cash transfer + food voucher";"Nutrition";"3200";"European Union, Co-funding";"";"";"Urban, Rural - Sedentary";"1/2011";"1/";"1/2011";"";"";"Unconditional grant, Direct cash, Aid agency directly#Vouchers#";"Cash transfer only (cash or voucher)";"";"";"";"";"English";"";"no";"";""
"289";"NAARI PLUS (Care, Concern Worldwide, Islamic Relief, Solidarites, Action Aid and Oxfam GB)";"Oxfam GB";"";"Bangladesh";"Khulna";"";"Ensure that all severely affected targeted households meet basic food needs without having to resort to negative coping strategies and give them the capacity to strengthen their own livelihoods.";"Other, Food security and livelihood, Nutrition";"94697";"European Commission Humanitarian Office (ECHO) - 10000000";"10000000";"";"Rural - Sedentary";"5/2011";"11/2011";"1/";"";"Technical Working Group - Consortium members, Other";"Conditional grant, Direct cash#Unconditional grant, Cheques#Cash for work#";"Cash transfer only (cash or voucher)";"Kaiser Rejve";"Humanitarian Programme Manager";"krejve@oxfam.org.uk";"";"";"OPAL BGDB70";"no";"";""
